"Breed","BreedEntity","StrangerDirectedAggression","OwnerDirectedAggression","DogDirectedAggression","StrangerDirectedFear","DogDirectedFear","NonsocialFear","DogRivalry","Trainability","Chasing","AttachmentAttentionSeeking","SeparationRelatedBehavior","TouchSensitivity","Excitability","EnergyLevel"
"Boston Terrier","Entity[""DogBreed"", ""BostonTerrier""]",0.4,0,1.25,0,0.75,0,1.25,3.5,2.3333333333,3,0,0,3.3333333333,2.5
"Poodle (Standard)","Entity[""DogBreed"", ""StandardPoodle""]",0,0,0.75,0,1,0,1,3.75,"Missing[""NotAvailable""]",2.5,0,0,2.5,3
"English Springer Spaniel","Entity[""DogBreed"", ""EnglishSpringerSpaniel""]",4,1,4,4,3.75,1,1.5,1.75,4,4,1.75,3.5,4,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",3.3,0,3.5,3.5,3.75,1.3333333333,0.5,2.75,2.3333333333,3,0.625,1.75,3,3
"Rottweiler","Entity[""DogBreed"", ""Rottweiler""]",0.3,0.125,0,0,0,0.6666666667,0,2.625,"Missing[""NotAvailable""]",1.6666666667,0.8571428571,0,2.1666666667,2
"Dachshund","Entity[""DogBreed"", ""Dachshund""]",1.3,0,0.3333333333,1,"Missing[""NotAvailable""]",0.5,0.5,2,1.3333333333,2.1666666667,0.25,0.5,2.8333333333,1.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",2.2,0,3,4,0,2.1666666667,1.25,2.375,3.5,2.2,0,1,3.3333333333,1
"Mixed Breed/Unknown","Missing[""NotAvailable""]",3.8,0,3,2.5,1.5,1.8333333333,0.5,2.625,4,2.6,1,1,3,1.5
"Shetland Sheepdog","Entity[""DogBreed"", ""ShetlandSheepdog""]",0.2,0,0,1.25,1.5,1.5,0,3.375,1.75,2,0.375,0.25,2.3333333333,2
"Doberman Pinscher","Entity[""DogBreed"", ""DobermanPinscher""]",1.1,0.25,0.25,0,0,0.1666666667,0.25,3.625,0,1.8333333333,0.125,0,0.3333333333,3
"Rottweiler","Entity[""DogBreed"", ""Rottweiler""]",0.5,0,1,0,0.5,3,1.25,3.75,2.5,2.5,1.25,0,2.1666666667,1
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0,0,0.5,0.25,0.75,0.6666666667,1,3,2.25,1.1666666667,0,0.75,1.5,1.5
"Eurasier","Entity[""DogBreed"", ""Eurasier""]",0,1.875,0.75,0,1.25,1,0.75,2.875,0,0.8333333333,0,0,1.8333333333,0
"Eurasier","Entity[""DogBreed"", ""Eurasier""]",0.1,0,0,0,0,0.3333333333,0,3.375,1.5,1,0,0,1,0
"Rottweiler","Entity[""DogBreed"", ""Rottweiler""]",0.3,0,0,0,0,0,0,2.125,3,2,0,0,2.5,3
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.2,0,0.25,0,0,0.3333333333,0,2.25,2.25,1.6666666667,0,0.5,2.6666666667,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",1,0,0.5,1,0.5,0.6666666667,0,3.5,1.25,2.3333333333,0,0,2.1666666667,2
"Bichon Frise","Entity[""DogBreed"", ""BichonFrise""]",0.1,0,1,0,0.25,0.6,0.3333333333,2.5,3.25,3,0,0.5,2.6666666667,2
"Alaskan Husky","Missing[""NotAvailable""]",2.7,2.75,2.5,2.75,3,2.6666666667,2.75,2.375,2.25,2.5,2.375,2.5,2.1666666667,3
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.1,0,1.75,0,0,0.3333333333,1.5,3.5,1.5,2.6666666667,1.5,0.25,2,2
"Boxer","Entity[""DogBreed"", ""Boxer""]",0,0,1,0,0,0,1,2.8571428571,0.75,0.6666666667,0.25,0,1.3333333333,2.5
"Great Pyrenees","Entity[""DogBreed"", ""GreatPyrenee""]",0,0.8333333333,"Missing[""NotAvailable""]",0,0,"Missing[""NotAvailable""]",0,1.2857142857,"Missing[""NotAvailable""]",1.5,0.25,0,0.3333333333,2.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",2.5555555556,2,2.6666666667,0.75,"Missing[""NotAvailable""]",1.8,1,2.4285714286,0.3333333333,1.6666666667,1.2857142857,1.3333333333,1.5,0
"Shih Tzu","Entity[""DogBreed"", ""ShihTzu""]",0.6,0,1,0,0.75,1.3333333333,0.75,2.625,1,2,0,1,1.5,1.5
"Collie","Entity[""DogBreed"", ""Collie""]",0.4,0,1.25,0,0,1.8333333333,"Missing[""NotAvailable""]",2.875,0.25,2.1666666667,0,0.5,1.8333333333,0
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.5,0,1.75,0,0.5,1.1666666667,"Missing[""NotAvailable""]",2.125,4,2,0.5,1.6666666667,3.8333333333,1.5
"Border Collie","Entity[""DogBreed"", ""BorderCollie""]",1.5,0,1.5,0,0.25,0.3333333333,0.25,2.75,1.5,2.3333333333,0.375,0.25,2,4
"Cocker Spaniel (English)","Entity[""DogBreed"", ""EnglishCockerSpaniel""]",1,0,0,1,0.75,1.5,0,3.375,3,1.3333333333,1.25,0.75,2.3333333333,2
"Poodle (Standard)","Entity[""DogBreed"", ""StandardPoodle""]",0,0,0,0,0,0,0,2.75,2,2.3333333333,0,0.25,1.3333333333,3
"Jack Russell Terrier","Entity[""DogBreed"", ""JackRussellTerrier""]",0.5,0.125,2.25,0,1,0.8333333333,0.75,1.4285714286,3.5,3,1,0.75,2.8333333333,2.5
"Siberian Husky","Entity[""DogBreed"", ""SiberianHusky""]",0,0.5,0.6666666667,0,0.5,0.5,"Missing[""NotAvailable""]",2,3,2,0.125,0,0.5,2
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0,0,0,0,0.25,0.5,0,3.625,1.25,2,0,0,2,1.5
"Pit Bull mix","Missing[""NotAvailable""]",0.9,0,2,0,2.75,0,0.25,2,3.5,2.5,0.5,0,3,3
"Shiba Inu","Entity[""DogBreed"", ""ShibaInu""]",0.3,0,2.3333333333,1.75,1,1.5,"Missing[""NotAvailable""]",1.7142857143,1.5,2.2,0.875,0,1.6666666667,1
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0,0,0.5,0,0.5,1.6666666667,0,3.8571428571,0.5,1.6666666667,0.25,0.25,1.3333333333,0
"Border Terrier","Entity[""DogBreed"", ""BorderTerrier""]",0.3,0,0,0,1.5,0.5,0,3,4,2,0.625,0.25,1.5,2
"German Wirehaired Pointer","Entity[""DogBreed"", ""GermanWirehairedPointer""]",0.8,0,0,1.5,1.25,0.5,0.75,3.375,3,3.1666666667,0.625,0.25,2.6666666667,4
"Bulldog","Entity[""DogBreed"", ""EnglishBulldog""]",0,0,1,0,0,0,0,2.75,1.5,0,0,0,0.8333333333,0.5
"Spinone Italiano","Entity[""DogBreed"", ""SpinoneItaliano""]",0.5,0,0.25,0,0,0,0,3,2.25,1.3333333333,0.25,0,1.3333333333,2.5
"Rhodesian Ridgeback","Entity[""DogBreed"", ""RhodesianRidgeback""]",0.4,0,0.75,0.25,1,1.1666666667,0,3,1.75,1.6666666667,0.25,0.25,1.5,1
"Collie (Rough)","Missing[""NotAvailable""]",0,0,0.75,0.5,0.25,0.3333333333,0,3,1.25,2.1666666667,0,0,1,2
"Collie (Rough)","Missing[""NotAvailable""]",0,0,0,0,0,0,0,3.25,0.5,0.8333333333,0,0,0.8333333333,1.5
"American Pit Bull Terrier","Entity[""DogBreed"", ""AmericanPitBullTerrier""]",0.1,0,1.5,0.25,1.75,1.2,"Missing[""NotAvailable""]",1.375,3.25,3.6,1.375,1.3333333333,3.2,2.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.125,0,0.75,0.25,0,0.6666666667,0,2.5,2.75,2.2,0.25,1,2.1666666667,1.5
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",0.4,0,1,0,1,0.8333333333,0,3,3,2.1666666667,0.25,0.25,1.8333333333,2.5
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0,0,0,0,0,0,0,3.625,2,1.2,0,0,1.3333333333,2.5
"English Springer Spaniel","Entity[""DogBreed"", ""EnglishSpringerSpaniel""]",0.6666666667,0.375,1.3333333333,0,0,1.4,0,2,3.5,3.1666666667,0,1.5,2.5,0.5
"Rhodesian Ridgeback","Entity[""DogBreed"", ""RhodesianRidgeback""]",1.1,0,2.5,1.75,0.25,0,0,2.375,2.25,1.3333333333,0.25,0,1.3333333333,1
"Great Dane","Entity[""DogBreed"", ""GreatDane""]",0.7,0,0.6666666667,2,"Missing[""NotAvailable""]",0.8,0,1.8571428571,3,2.6666666667,2.125,1.25,1.8333333333,2
"Greyhound","Entity[""DogBreed"", ""Greyhound""]",0,0.25,0,0.25,0,1,1.5,1.875,1.75,1.3333333333,0.125,0,2.1666666667,0.5
"Greyhound","Entity[""DogBreed"", ""Greyhound""]",0,0,0.75,0,0,0.3333333333,0.25,1.25,1.75,1.1666666667,0.5,0,2.1666666667,3
"Rhodesian Ridgeback","Entity[""DogBreed"", ""RhodesianRidgeback""]",0.1,0,"Missing[""NotAvailable""]",0,"Missing[""NotAvailable""]",0,0,3.1666666667,2.3333333333,1.6666666667,0.375,0.5,1.5,1.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",1.4,0,0.5,2,1.25,0.6666666667,0.25,2.5,3,2.1666666667,2,1.75,3.1666666667,2
"Akita","Entity[""DogBreed"", ""Akita""]",2,2.125,3,2.5,1.75,2.1666666667,3,2.125,1.5,1.3333333333,1.375,1.5,1.3333333333,1
"Yorkshire Terrier","Entity[""DogBreed"", ""YorkshireTerrier""]",1.5,0.5,2,1.25,0.75,2.1666666667,0.5,2.625,4,2.5,2.5,2.5,3.1666666667,3
"Border Collie","Entity[""DogBreed"", ""BorderCollie""]",1.6,0.125,1,0.75,0.25,0,2.5,2.75,2.25,2.5,0.25,0.25,1.6666666667,2.5
"Border Collie","Entity[""DogBreed"", ""BorderCollie""]",1.1,0,0.5,0.25,0,0.5,1.75,3.375,1.75,2.5,0.625,0.25,1.8333333333,1.5
"Border Collie","Entity[""DogBreed"", ""BorderCollie""]",0.3,0,0.25,1.25,0.25,0.3333333333,0.5,3.25,1.75,3.3333333333,1,0.25,1.1666666667,2.5
"German Shorthaired Pointer","Entity[""DogBreed"", ""GermanShorthairedPointer""]",0.4,0,"Missing[""NotAvailable""]",0,1.5,2.3333333333,"Missing[""NotAvailable""]",2.25,3.3333333333,1.8333333333,1.5,0.5,2.3333333333,3
"Poodle (Standard)","Entity[""DogBreed"", ""StandardPoodle""]",0.5,0,0.25,0.5,0.25,0.3333333333,0,2.375,1.25,2.1666666667,0.125,0.25,2.6666666667,3
"Bullmastiff","Entity[""DogBreed"", ""Bullmastiff""]",1.2,0,0.5,0.75,0,0.1666666667,0,3.5,2.25,0.8333333333,0.125,0.25,2.1666666667,2
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0.3,0.625,1,0,1,3.3333333333,"Missing[""NotAvailable""]",2.375,3.25,2.6666666667,0.5,2.5,3.1666666667,2
"American Pit Bull Terrier","Entity[""DogBreed"", ""AmericanPitBullTerrier""]",1.2,0,1,0,0,0.1666666667,0.25,3.125,1.25,1.6666666667,0.25,0.25,2.6666666667,2
"Mastiff (English)","Entity[""DogBreed"", ""Mastiff""]",0.1111111111,0,"Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]",1.4,"Missing[""NotAvailable""]",3.4285714286,1.25,2,0.5,0.25,1.5,1.5
"Airedale Terrier","Entity[""DogBreed"", ""AiredaleTerrier""]",0,0,1.5,0,2,0.8333333333,0,2.7142857143,3.25,0.8333333333,0,0,1,0.5
"Airedale Terrier","Entity[""DogBreed"", ""AiredaleTerrier""]",0,0,0.75,0,0.5,0.1666666667,0,2.4285714286,2,1.1666666667,0,0.75,1,1.5
"Akita","Entity[""DogBreed"", ""Akita""]",1,0,0.5,0.5,0,0.5,1,2.5,4,1.1666666667,0.375,0,3.5,3
"Akita","Entity[""DogBreed"", ""Akita""]",0,0,1.25,0,0,0.5,1,2.75,4,1.6666666667,0.25,0,2.3333333333,2
"Collie","Entity[""DogBreed"", ""Collie""]",0,0,0,0,0,0,0,3.5,1.25,1.6666666667,0,0.25,1.8333333333,1
"Collie","Entity[""DogBreed"", ""Collie""]",0.7,0,0,0,0,0.5,0,3,0.25,2,0,0.25,1.8333333333,1
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",1.8,0,2.3333333333,1,1.6666666667,0.1666666667,1,2.875,1.75,2.1666666667,0,1,2.5,3
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",0.8888888889,0,1.3333333333,0,0.3333333333,0.3333333333,"Missing[""NotAvailable""]",3,2.25,2.2,0.75,0.25,1.4,1
"Jack Russell Terrier","Entity[""DogBreed"", ""JackRussellTerrier""]",0.4,0.875,1.75,0.75,0.5,0.3333333333,0.5,2.5,0.75,3,0,0.75,3.5,4
"Akita","Entity[""DogBreed"", ""Akita""]",0,0,3.3333333333,0,1,0,0,2.625,1.3333333333,1.1666666667,0,0,1,2
"Weimaraner","Entity[""DogBreed"", ""Weimaraner""]",0,1.25,0,0.25,0.75,"Missing[""NotAvailable""]","Missing[""NotAvailable""]",2.2857142857,"Missing[""NotAvailable""]",2.1666666667,0,2,1.5,3
"Scottish Terrier","Entity[""DogBreed"", ""ScottishTerrier""]",0,0,0.25,0,0.25,1.3333333333,0.25,2,1.25,1.6666666667,0,0.25,2.6666666667,2
"Miniature Schnauzer","Entity[""DogBreed"", ""MiniatureSchnauzer""]",0.7,0,1.25,0.5,0,0.6666666667,0,2.125,3,2.5,0.375,1.5,2.6666666667,2
"Miniature Schnauzer","Entity[""DogBreed"", ""MiniatureSchnauzer""]",2,0,2.5,0,0,0.1666666667,0.25,3.125,3.75,1.8333333333,0.375,1,2.5,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.7,0.25,1,0,0,0.8333333333,1.25,2.625,1.5,1.3333333333,0,0.25,1.1666666667,1
"Weimaraner","Entity[""DogBreed"", ""Weimaraner""]",1.2,0,0.5,3,1,1.3333333333,1,2.875,1.75,2.8333333333,3.375,1.5,1.6666666667,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",1,0,1.25,0.5,0,0.3333333333,0.5,3.125,2.75,1.1666666667,0,0,1.8333333333,1.5
"Collie","Entity[""DogBreed"", ""Collie""]",0,0,0,0.25,0.25,0,1,3.375,2.25,2.6666666667,0,0.5,1.5,1
"Shetland Sheepdog","Entity[""DogBreed"", ""ShetlandSheepdog""]",0.5,0,1.25,0,0.5,1,1.25,3,2.5,2.5,0.5,0.5,1.6666666667,1.5
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",0.2,0,0.25,0,0,0,0.75,3.5,1.5,0.5,0.75,0.5,0.6666666667,0
"Bichon Frise","Entity[""DogBreed"", ""BichonFrise""]",0,0,0,0,0.75,0.5,0,2.5,2.25,2,1.875,0.75,2.5,3
"Mixed Breed/Unknown","Missing[""NotAvailable""]",1.1,0,0.25,1.75,2.75,0.6666666667,"Missing[""NotAvailable""]",2.75,2,1.1666666667,0.5,0,2.8333333333,2
"Great Dane","Entity[""DogBreed"", ""GreatDane""]",0.9,0.25,2.75,1.25,2,1,0.25,2.375,4,2.8333333333,0.125,0.5,2.1666666667,1.5
"Treeing Walker Coonhound","Entity[""DogBreed"", ""TreeingWalkerCoonhound""]",0.4444444444,0.125,1,0,"Missing[""NotAvailable""]",0.4,0,1.125,3.75,1.3333333333,1.625,0.3333333333,2.1666666667,1
"Redbone Coonhound","Entity[""DogBreed"", ""RedboneCoonhound""]",0.5,0,1.5,0,0,0.6666666667,0.5,2,4,0.8333333333,0.125,0.75,2.1666666667,0.5
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",1.1,0,2.25,0,0.5,0.1666666667,0,3.625,2.5,1.3333333333,0,1,1.6666666667,0
"Boxer","Entity[""DogBreed"", ""Boxer""]",0.4444444444,0,0.25,0.25,0,1.3333333333,"Missing[""NotAvailable""]",3.5,2.5,1.5,0,0.75,2.1666666667,3.5
"Basenji","Entity[""DogBreed"", ""Basenji""]",0.3,0.75,0.5,0,1.5,0,1.75,1.875,2.75,2.5,0.7142857143,0,1.6666666667,1
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",0.9,0.125,0.25,0,0.75,1.1666666667,0,3.375,2.3333333333,2.3333333333,0.5,0,1.1666666667,2
"Jack Russell Terrier","Entity[""DogBreed"", ""JackRussellTerrier""]",0,0,0.5,0,0.75,0.1666666667,1.25,3,1.75,2.1666666667,3.625,0.75,1.8333333333,2
"Lakeland Terrier","Entity[""DogBreed"", ""LakelandTerrier""]",0,0,0,0,0,0.3333333333,1.3333333333,1.25,3.75,1.5,0,0.25,2,2
"Golden Retriever","Entity[""DogBreed"", ""GoldenRetriever""]",0.3,0,0,0,0.5,0.3333333333,0,2.625,1,1.5,0.375,0,2.8333333333,1.5
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]","Missing[""NotAvailable""]",0,1.6666666667,"Missing[""NotAvailable""]",1.5,1.2,0,2.125,0.75,3.1666666667,1.7142857143,1.6666666667,4,4
"Chinook","Entity[""DogBreed"", ""Chinook""]",1.1,0,0,0.25,0,0.6666666667,0.25,3.5,2.5,1.1666666667,0.375,1.25,2.3333333333,3
"Rat Terrier","Entity[""DogBreed"", ""RatTerrier""]",0.1,0,0.75,0.5,0,0.8333333333,0.25,3.125,3.25,1.6666666667,0,0.5,1.8333333333,2
"Shih Tzu","Entity[""DogBreed"", ""ShihTzu""]",0.4,0,0.25,1.5,1.75,0.8333333333,0.25,2.75,3.25,1.8333333333,0.375,1.5,2.1666666667,1
"Chihuahua","Entity[""DogBreed"", ""Chihuahua""]",1.5,0,3.75,2.5,4,1.1666666667,2.5,2.75,3.5,3.5,1.625,1.5,4,3
"Cocker Spaniel (American)","Entity[""DogBreed"", ""CockerSpaniel""]",0.8888888889,0,2.25,1,1.5,0.5,0.25,1.875,3,2.6666666667,1.5,0.3333333333,3.6666666667,2
"Poodle (Standard)","Entity[""DogBreed"", ""StandardPoodle""]",0,0,0,0,0,0.3333333333,1,3.125,3.25,1.3333333333,0,1,2,0.5
"Poodle (Miniature)","Entity[""DogBreed"", ""MiniaturePoodle""]",0,0,1.5,0.25,0,0.3333333333,0,2.375,2,1,0,0.5,1.8333333333,2
"Tibetan Spaniel","Entity[""DogBreed"", ""TibetanSpaniel""]",0.4,0.5,0.5,2.75,3,1.3333333333,0,0.5,3.25,1.6666666667,1.25,2.5,1.6666666667,1
"Eurasier","Entity[""DogBreed"", ""Eurasier""]",0.4,0,0.75,0.75,0,0.1666666667,2,3,2.75,2.1666666667,0.125,1,1.5,1.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0,0,0,0,1.5,2.2,0,2.5,1,2,0.75,0,1.6666666667,2
"Golden Retriever","Entity[""DogBreed"", ""GoldenRetriever""]",0.4,0,1.25,0.25,1.25,0,0.25,3.75,3.5,1.1666666667,0,0,1.1666666667,1
"Cocker Spaniel (English)","Entity[""DogBreed"", ""EnglishCockerSpaniel""]",1.5555555556,0,1,1.5,0.75,1.5,"Missing[""NotAvailable""]",2.625,2.75,2.3333333333,0.75,1,2.3333333333,2
"Airedale Terrier","Entity[""DogBreed"", ""AiredaleTerrier""]",0,0,0.25,0,0,0,0.5,2.5,2.5,1.3333333333,0,0,2,2.5
"Airedale Terrier","Entity[""DogBreed"", ""AiredaleTerrier""]",0.6,0,0.25,1,0,1.1666666667,0.75,3.375,2,1.6666666667,0,0,2,3
"Airedale Terrier","Entity[""DogBreed"", ""AiredaleTerrier""]",0,0,0,0,0,0,0,3.375,1.75,0.1666666667,0,0,0,1.5
"Airedale Terrier","Entity[""DogBreed"", ""AiredaleTerrier""]",0.8,0.25,1.25,0,0,0,1,2.625,3.5,1.8333333333,0.375,0,1.8333333333,0
"Airedale Terrier","Entity[""DogBreed"", ""AiredaleTerrier""]",0.4,0.125,0.5,0,0,0,0.75,3.375,2.75,0.6666666667,0.125,0,1,2
"Airedale Terrier","Entity[""DogBreed"", ""AiredaleTerrier""]",0.5,0,0.25,0,0,0.1666666667,0.25,3.125,2.25,1.5,0,0.25,2,3
"Yorkshire Terrier","Entity[""DogBreed"", ""YorkshireTerrier""]",3.2,0.875,2.5,0.25,1,2.6,"Missing[""NotAvailable""]",1.875,3.75,3.1666666667,0.625,0.3333333333,3.6,4
"Giant Schnauzer","Entity[""DogBreed"", ""GiantSchnauzer""]",0.4,0,0,0.25,0.5,0.6666666667,0,1.875,0.3333333333,1.3333333333,0.5,0,3.3333333333,4
"Bouvier des Flandres","Entity[""DogBreed"", ""BouvierdesFlandres""]","Missing[""NotAvailable""]",0,"Missing[""NotAvailable""]",0.25,"Missing[""NotAvailable""]","Missing[""NotAvailable""]",0,2.7142857143,2,1.8,0.8571428571,"Missing[""NotAvailable""]",2,1.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.2222222222,0,0,0,0,"Missing[""NotAvailable""]",0,3,1.6666666667,1.6666666667,0,1.25,2,1
"Bouvier des Flandres","Entity[""DogBreed"", ""BouvierdesFlandres""]","Missing[""NotAvailable""]",0,0.6666666667,1.25,0,"Missing[""NotAvailable""]",0.6666666667,2.7142857143,1.75,1.8,"Missing[""NotAvailable""]",0.5,"Missing[""NotAvailable""]",2
"Bouvier des Flandres","Entity[""DogBreed"", ""BouvierdesFlandres""]",0.3,0,1,0,0,"Missing[""NotAvailable""]",0.3333333333,2.875,2,2.8333333333,0,0.25,2,1.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.25,1.75,0.5,0,0,"Missing[""NotAvailable""]",1.5,2.875,2,1.1666666667,0,0.25,2,1
"Italian Greyhound","Entity[""DogBreed"", ""ItalianGreyhound""]",0,0,0,2,0,2.8333333333,0,2,0.5,3.5,1,0.25,1,3
"Bearded Collie","Entity[""DogBreed"", ""BeardedCollie""]",0.1,0,0,0.75,0.5,0.5,0,3.25,1,3,0.875,0.25,2.5,3
"Irish Setter","Entity[""DogBreed"", ""IrishSetter""]","Missing[""NotAvailable""]",0,0.75,0,0.75,0.6,0,2.5,2.5,2.6,0.5714285714,0.75,2.1666666667,2.5
"Briard","Entity[""DogBreed"", ""Briard""]",0.8,0,1.25,0.5,1.25,0.1666666667,0,3.375,1,1.1666666667,0,0,2,1
"Bearded Collie","Entity[""DogBreed"", ""BeardedCollie""]",0,0,0,0.25,0.25,0.1666666667,0,3.125,1.5,1.3333333333,0,0,2,2
"Briard","Entity[""DogBreed"", ""Briard""]",0.6,0,0.25,0,0.5,0,0,3.25,1.75,1.1666666667,0,0,2,1
"Briard","Entity[""DogBreed"", ""Briard""]",0.6,0,0.5,0.25,1,0,0,3,0.75,1,0,0,2,1.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.4,0,0,0,0,0.1666666667,0,2.625,1.25,2.5,0,1,2,0
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.2,0,0.5,2,0,2.5,2.5,3,2.75,1.6666666667,0.75,2.5,2.1666666667,0
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.8888888889,0,3,3.25,3,0.6666666667,1,2.5714285714,3.25,1.1666666667,0.25,1,2,1.5
"Border Collie","Entity[""DogBreed"", ""BorderCollie""]",0.2,0,0,0,0,0,0,2.125,2.25,1.1666666667,0.125,0,2.8333333333,2
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",0.6,0.125,4,0,0.5,1.1666666667,2,2,3,1.5,0.75,0.6666666667,"Missing[""NotAvailable""]",2.5
"Rottweiler","Entity[""DogBreed"", ""Rottweiler""]",1,0.7142857143,1,0.25,"Missing[""NotAvailable""]","Missing[""NotAvailable""]",0.6666666667,2.5,"Missing[""NotAvailable""]",1.6,1.625,"Missing[""NotAvailable""]",3.2,3.5
"Whippet","Entity[""DogBreed"", ""Whippet""]",0.8888888889,0,1,1,1,0.1666666667,0.5,2.75,2.75,2.3333333333,0.25,0,2.3333333333,2
"Whippet","Entity[""DogBreed"", ""Whippet""]",0.8888888889,0,1.25,1.75,2,0.5,0.5,2.375,2.75,1.5,0.375,0.25,2.3333333333,2
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",0.9,0,1.25,1,1.5,1.4,0.75,2.75,2,3.1666666667,1.4285714286,1,1.8333333333,2
"Bernese Mountain Dog","Entity[""DogBreed"", ""BerneseMountainDog""]",0.4,0.25,0.5,0,0,2.3333333333,0.5,2,1.75,2.3333333333,2.875,0.5,1.8333333333,0.5
"Alaskan Malamute","Entity[""DogBreed"", ""AlaskanMalamute""]",0,0.5,3.5,0,0,0.8,1.25,1.625,2,1.5,0.25,"Missing[""NotAvailable""]",1,1
"Mixed Breed/Unknown","Missing[""NotAvailable""]",1.6,0.1428571429,3.75,0.5,0.6666666667,1.5,"Missing[""NotAvailable""]",2.875,3.25,2.5,0.125,1.25,2.1666666667,0
"Pug","Entity[""DogBreed"", ""Pug""]",0,0,0,0,0.5,0.6666666667,0,2.1428571429,1.25,1.6666666667,0.5,1.5,2,1.5
"Australian Shepherd","Entity[""DogBreed"", ""AustralianShepherd""]",0.5,0,0.5,1.75,0.75,0.3333333333,1,3.5,1.25,2.3333333333,0.125,0.25,0.8333333333,1.5
"Australian Cattle Dog","Entity[""DogBreed"", ""AustralianCattleDog""]",1,0,1.25,1,0.75,0.5,0.25,3.375,2.5,1.8333333333,0.75,0.25,2,2.5
"Border Collie","Entity[""DogBreed"", ""BorderCollie""]",0.3,0,3.25,0,2.5,0.1666666667,"Missing[""NotAvailable""]",3.125,4,2.5,0.625,0,0.6666666667,3
"Beagle","Entity[""DogBreed"", ""Beagle""]",1.1,0,0.5,2.25,1.25,1,"Missing[""NotAvailable""]",1.375,2.25,1.1666666667,1,0.3333333333,1.8333333333,0
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.4444444444,0,2,1,2,"Missing[""NotAvailable""]","Missing[""NotAvailable""]",2.5714285714,2.6666666667,1.6,1,0.3333333333,2.5,2
"Bernese Mountain Dog","Entity[""DogBreed"", ""BerneseMountainDog""]",0,0.875,0,0,0.25,0,0,2.375,1.5,1.8333333333,0.125,0,2.5,0
"Dalmatian","Entity[""DogBreed"", ""Dalmatian""]",0.9,0.5,0.6666666667,1.5,"Missing[""NotAvailable""]",0.4,"Missing[""NotAvailable""]",3.125,2.25,3,1.25,0.75,1.3333333333,3
"Dalmatian","Entity[""DogBreed"", ""Dalmatian""]",0.5,0.5,"Missing[""NotAvailable""]",0.5,"Missing[""NotAvailable""]",0.3333333333,"Missing[""NotAvailable""]",2.125,2.75,3,0,1,2,3.5
"Shiba Inu","Entity[""DogBreed"", ""ShibaInu""]",0.1111111111,0.625,"Missing[""NotAvailable""]",1,1,0.6,"Missing[""NotAvailable""]",2,"Missing[""NotAvailable""]","Missing[""NotAvailable""]",2.125,1.5,2,3
"Alaskan Malamute","Entity[""DogBreed"", ""AlaskanMalamute""]",0.1111111111,1.3333333333,"Missing[""NotAvailable""]",0.25,0.5,0.1666666667,"Missing[""NotAvailable""]",2.5,"Missing[""NotAvailable""]",0.8333333333,0.25,3.25,0.6666666667,1
"Collie","Entity[""DogBreed"", ""Collie""]",0.6,0,0.25,0,0,0,"Missing[""NotAvailable""]",3,2.75,0.8333333333,0,0,0,0
"Bouvier des Flandres","Entity[""DogBreed"", ""BouvierdesFlandres""]",1.1,0,1.25,2,0.3333333333,1,0,2.5,3.25,2,0.375,1.75,3,2
"Shiba Inu","Entity[""DogBreed"", ""ShibaInu""]",1.8,0,1,2.75,0.25,0.8333333333,0,1.5714285714,3.25,1.5,0.5,1.5,2,3
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.1,0,0,0,0.5,0.6666666667,0.75,3,2,2.6666666667,0,1.5,2.6666666667,1.5
